,Project Loan/Credit/Grant,"Principal, US$","Available, US$","Disbursed, US$",Country,Status,Approval Date
221,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
222,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
223,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
224,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
225,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
226,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
227,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
228,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
229,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
230,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
231,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
232,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
233,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
234,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
235,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
236,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
237,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
238,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
239,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
240,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
241,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
242,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
243,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
244,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
245,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
246,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
247,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
248,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
249,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
250,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
251,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
252,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
253,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
254,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
255,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
256,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
257,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
258,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
259,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
260,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
261,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
262,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
263,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
264,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
265,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
266,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
267,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
268,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
269,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
270,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
271,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
272,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
273,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
274,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
275,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
276,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
277,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
278,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
279,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
280,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
281,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
282,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
283,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
284,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
285,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
286,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
287,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
288,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
289,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
290,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
291,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
292,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
293,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
294,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
295,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
296,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
297,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
298,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
299,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
300,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
301,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
302,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
303,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
304,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
305,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
306,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
307,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
308,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
309,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
310,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
311,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
312,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
313,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
314,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
315,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
316,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
317,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
318,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
319,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
320,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
321,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
322,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
323,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
324,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
325,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
326,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
327,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
328,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
329,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
330,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
331,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
332,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
333,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
334,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
335,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
336,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
337,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
338,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
339,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
340,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
341,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
342,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
343,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
344,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
345,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
346,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
347,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
348,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
349,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
350,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
351,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
352,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
353,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
354,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
355,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
356,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
357,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
358,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
359,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
360,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
361,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
362,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
363,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
364,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
365,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
366,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
367,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
368,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
369,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
370,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
371,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
372,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
373,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
374,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
375,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
376,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
377,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
378,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
379,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
380,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
381,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
382,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
383,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
384,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
385,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
386,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
387,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
388,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
389,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
390,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
391,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
392,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
393,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
394,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
395,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
396,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
397,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
398,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
399,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
400,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
401,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
402,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
403,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
404,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
405,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
406,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
407,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
408,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
409,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
410,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
411,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
412,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
413,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
414,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
415,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
416,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
417,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
418,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
419,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
420,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
421,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
422,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
423,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
424,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
425,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
426,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
427,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
428,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
429,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
430,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
431,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
432,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
433,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
434,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
435,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
436,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
437,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
438,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
439,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
440,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
441,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
